Run,N,Enqueue,Dequeue,Peek,IsEmpty,IsFull,Display
1,1000,0.000000011,0.000000005,0.000000004,0.000000003,0.000000004,0.000003000
2,1000,0.000000007,0.000000005,0.000000004,0.000000004,0.000000002,0.000005000
3,1000,0.000000006,0.000000006,0.000000004,0.000000004,0.000000002,0.000003000
4,1000,0.000000006,0.000000006,0.000000004,0.000000002,0.000000003,0.000003000
5,1000,0.000000006,0.000000005,0.000000005,0.000000003,0.000000003,0.000003000
6,1000,0.000000006,0.000000005,0.000000005,0.000000003,0.000000003,0.000004000
7,1000,0.000000006,0.000000005,0.000000005,0.000000003,0.000000002,0.000004000
8,1000,0.000000006,0.000000005,0.000000004,0.000000003,0.000000004,0.000004000
9,1000,0.000000006,0.000000005,0.000000004,0.000000003,0.000000003,0.000004000
10,1000,0.000000005,0.000000005,0.000000004,0.000000003,0.000000004,0.000004000
11,1000,0.000000006,0.000000006,0.000000004,0.000000003,0.000000003,0.000003000
12,1000,0.000000005,0.000000005,0.000000004,0.000000004,0.000000003,0.000003000
13,1000,0.000000006,0.000000007,0.000000004,0.000000003,0.000000002,0.000003000
14,1000,0.000000006,0.000000005,0.000000004,0.000000002,0.000000004,0.000003000
15,1000,0.000000006,0.000000005,0.000000004,0.000000003,0.000000004,0.000003000
16,1000,0.000000005,0.000000006,0.000000004,0.000000004,0.000000003,0.000003000
17,1000,0.000000006,0.000000005,0.000000005,0.000000004,0.000000002,0.000003000
18,1000,0.000000007,0.000000007,0.000000004,0.000000002,0.000000003,0.000003000
19,1000,0.000000006,0.000000007,0.000000005,0.000000003,0.000000002,0.000003000
20,1000,0.000000007,0.000000006,0.000000004,0.000000003,0.000000002,0.000003000
21,1000,0.000000007,0.000000006,0.000000005,0.000000003,0.000000003,0.000003000
22,1000,0.000000006,0.000000005,0.000000006,0.000000003,0.000000004,0.000003000
23,1000,0.000000006,0.000000005,0.000000005,0.000000003,0.000000003,0.000004000
24,1000,0.000000006,0.000000005,0.000000004,0.000000003,0.000000003,0.000004000
25,1000,0.000000006,0.000000006,0.000000004,0.000000004,0.000000002,0.000004000
26,1000,0.000000006,0.000000007,0.000000005,0.000000003,0.000000002,0.000003000
27,1000,0.000000006,0.000000006,0.000000005,0.000000002,0.000000003,0.000003000
28,1000,0.000000005,0.000000005,0.000000004,0.000000003,0.000000004,0.000003000
29,1000,0.000000006,0.000000004,0.000000004,0.000000002,0.000000002,0.000002000
30,1000,0.000000004,0.000000005,0.000000003,0.000000002,0.000000002,0.000003000
31,1000,0.000000004,0.000000004,0.000000003,0.000000003,0.000000002,0.000002000
32,1000,0.000000004,0.000000004,0.000000003,0.000000002,0.000000003,0.000003000
33,1000,0.000000005,0.000000004,0.000000003,0.000000002,0.000000001,0.000002000
34,1000,0.000000004,0.000000005,0.000000003,0.000000002,0.000000002,0.000003000
35,1000,0.000000005,0.000000004,0.000000003,0.000000002,0.000000003,0.000002000
36,1000,0.000000004,0.000000005,0.000000003,0.000000002,0.000000002,0.000003000
